Name,FMVP
LeBron James,4
Kawhi Leonard,2
Kevin Durant,2
Andre Iguodala,1
Dirk Nowitzki,1
Kobe Bryant,2
Paul Pierce,1
Tony Parker,1
Dwyane Wade,1
Tim Duncan,3
Chauncey Billups,1
Shaquille O'Neal,3
Michael Jordan,6
Hakeem Olajuwon,2
Isiah Thomas,1
Joe Dumars,1
James Worthy,1
Magic Johnson,3
Larry Bird,2
Kareem Abdul-Jabbar,2
Moses Malone,1
Cedric Maxwell,1
Dennis Johnson,1
Wes Unseld,1
Bill Walton,1
Jo Jo White,1
Rick Barry,1
John Havlicek,1
Willis Reed,1
Wilt Chamberlain,1
Jerry West,1
