Year,Inductees,Pos.,Achievements,Ref.
1959,Chuck Hyatt,G,"National championship (Pittsburgh, 1928, 1930); College All-America (1929, 1930); Helms Foundation Player of the Year (1930)",[3]
1959,Hank Luisetti,F,"3 Pacific Coast Conference championships (Stanford, 1936–38); National championship (Stanford, 1937); Helm's Foundation Player of the Year (1937–38); 2-time All-America (1937–38)",[4]
1959,George Mikan,C,"All-America (DePaul, 1944–45); All-NBA First-Team (1950–54); 4-time NBA All-Star (1951–54); NBL/NBA Championships (Chicago Gears, 1947; Minneapolis Lakers, 1948–50, 1952–54)",[5]
1959,John Schommer,G,"Big Ten Championships (Chicago, 1907–09); All-America (1907–09); Mythical U.S. championship (Chicago, 1908); officiated Big Ten games (1911–40)",[6]
1960,Vic Hanson,G,"Helms Foundation Championship (Syracuse, 1926); Helms Foundation Player of the Year (1927); Grantland Rice's All-Time, All-America Team (1952); played with ABL's Cleveland Rosenblums (1927–30)",[7]
1960,Ed Macauley,C-F,"All-America (Saint Louis, 1948–49); Associated Press College Player of the Year (1949); MVP, NIT championship team (1949); All-NBA First-Team (1951–53)",[8]
1960,Branch McCracken,F,"Led Indiana in scoring (1928–30); All-Big Ten First Team (1928–30); set the Big Ten record for points (147) as a senior (1930); Helms Foundation All-America (1930); Coach of the Year (1940, 1953)",[9]
1960,Charles Murphy,C,"Big Ten co-championships (Purdue, 1928–29); Helms Foundation All-America (1929–30); set Big Ten scoring record of 143 points (1929); Big Ten Championship (1930)",[10]
1960,John Wooden,G,"Helms Foundation All-America (Purdue, 1930–32); Helms Foundation Player of the Year (1932); National championship (Purdue, 1932); All-NBL First Team (1938)",[11]
1961,Bennie Borgmann,G,"#1 scorer in the 1920s; earned fifteen scoring titles with various leagues (1922–35); led the Patterson Legionnaires and Kingston Colonials to league titles (1923); played in nearly 3,000 basketball games",[12]
1961,Forrest DeBernardi,C,"AAU championships (Kansas City Athletic Club, 1921, Hillyard Shine Alls, 1926–27, Cook Paint Company, 1928–29); 7-time AAU All-America",[13]
1961,Bob Kurland,C,"All-America (1944–46); NCAA Championships (Oklahoma A&M, 1945–46); Helms Foundation Player of the Year (1946); first 2-time Olympic Gold Medal winner (1948, 1952)",[14]
1961,Andy Phillip,G-F,"Consensus two-time All-America (1943, 1947); National College Player of the Year (Illinois, 1943); 5 championship finals (1947, 1955–58); 5-time BAA/NBA All-Star (1951–55)",[15]
1961,John Roosma,G,3-time All-American selection at Army; 3-time All-Eastern selection at Army; led the Cadets to a 73–13 record and 33 consecutive wins; led Passaic High School to New Jersey State championships (1919–21),[16]
1961,Chris Steinmetz,G,Led Wisconsin National Championship Game (1905); Western championship (1905); charter member of Helms Foundation Hall of Fame; enshrined in Wisconsin Athletic Hall of Fame,[17]
1961,Ed Wachter,C,"Played 8 different leagues and with independent teams (1899–1924); Member Troy championship team in Hudson River (1910–11) and New York State Leagues (1912–13, 1915); credited by many with inventing the bounce pass; chosen All-America basketball center by leading basketball authorities of the era",[18]
1962,Jack McCracken,F,"Second place in National High School Tournament in Chicago (Classen High School, 1929); 8-time AAU All-America (1932, 1935, 1937–39, 1940, 1942, 1945); 3 AAU national titles (1937, 1939, 1942)",[19]
1962,Pat Page,G,"1 National AAU title (University of Chicago, 1907); 3 National championships (1908, 1909, 1910); Helms Foundation All-America (1908–10); Helms Foundation National Player of the Year (1910)",[20]
